address,amount
0x1f76ddf32b111bf0626fa8e7b7720fb159baf7c2,4120439.789
0x658B768e67D16dBEc2d2b72Ab92ce1309426555C,1276571.255
0xEe5a5859C0840143A971B97D9566Dc54294C995b,690000
0x2c1f399bd9efc864dde4ac4ed39b571c8f656d7b,905612.2049
0x01,1453688.375
0x02,250000
0x58260a58801981BfFE0Fbf75Bf20ed726e673bd4,300000
0x1a26d481FCdeb330F3aFbEC822EDe9037955Fa83,120000
0x03,200000
0xf4d0c4c87Fd00df9086cfd9625f090C369E3ac56,1700000
0x09999CBE5819a002223c7aF1bAc940B182989572,50000
0x04,100000
0x513B95aE1B868ba4eDe192058DB918dcf10b36b5,100000
0x838a96ffb4aabaa944f1bf0a68a3ea89ee7898eb,100000
0xd168EF4210e7e08164d45cce71e98F8Deec26b9a,69000
0x05,100000
0x058E81d2193fB3200f2740d0395F8561cB89e009,100000
0xF66b29b32D94D63A8E4f0bC16Bd1d31b5eA8e312,6000
0x06,2000000
